,외국인 보유금액 (단위:조원),,외환보유액(단위:억달러),,,FTSE지수(종가기준),,,MSCI지수(종가기준),,,,,,,,,,,,,,,
201508월,405.2,201108월,"3,112",,201502월,257.95,,201903월,642.74,,201712월,-,-,-,-,-,55,76,-,60,-,-,51,-
201509월,413.8,201109월,"3,034",,201503월,263.07,,201904월,664.15,,201801월,-,-,-,-,-,50,60,-,47,-,-,48,-
201510월,441.3,201110월,"3,110",,201504월,271.94,,201905월,614.03,,201802월,-,-,-,-,-,49,56,-,52,-,-,52,-
201511월,430.2,201111월,"3,086",,201505월,264.69,,201906월,645.79,,201803월,-,-,-,-,-,46,61,-,66,-,-,60,-
201512월,420.4,201112월,"3,064",,201506월,255.7,,201907월,620.75,,201804월,-,-,-,-,-,-,63,-,66,-,-,65,-
201601월,403.6,201201월,"3,113",,201507월,247.49,,201908월,603.6,,201805월,-,-,-,-,-,-,66,-,68,-,-,72,-
201602월,407.3,201202월,"3,158",,201508월,235.53,,201909월,637.36,,201806월,-,-,-,-,-,-,63,-,64,-,-,74,-
201603월,432.5,201203월,"3,160",,201509월,240.46,,201910월,648.34,,201807월,-,-,-,-,-,-,66,-,68,-,-,77,-
201604월,432.2,201204월,"3,168",,201510월,256.54,,201911월,648.36,,201808월,-,-,-,-,-,-,65,-,70,-,-,80,-
201605월,433.4,201205월,"3,109",,201511월,251.65,,201912월,691.12,,201809월,-,-,-,-,-,-,60,-,62,58,-,75,73
201606월,437.4,201206월,"3,124",,201512월,247.28,,202001월,674.34,,201810월,-,-,-,-,-,-,61,-,60,61,-,73,72
201607월,454.7,201207월,"3,144",,201601월,238.34,,202002월,636.97,,201811월,-,-,-,-,-,-,58,-,61,65,-,76,81
201608월,466.7,201208월,"3,169",,201602월,240.04,,202003월,563,,201812월,-,-,-,-,-,-,63,-,66,72,-,81,91
201609월,469.6,201209월,"3,220",,201603월,253.21,,202004월,609.65,,201901월,-,-,-,-,-,-,51,-,60,69,-,74,83
201610월,468.3,201210월,"3,235",,201604월,251.78,,202005월,633.55,,201902월,-,-,-,-,-,-,48,-,59,65,-,67,77
201611월,469.1,201211월,"3,261",,201605월,250.74,,202006월,663.54,,201903월,-,-,-,-,-,-,40,-,53,57,-,66,71
201612월,480.8,201212월,"3,270",,201606월,252.12,,202007월,704.84,,201904월,-,-,-,-,-,-,34,-,54,58,-,62,66
201701월,501.1,201301월,"3,289",,201607월,260.41,,202008월,717.4,,201905월,-,-,-,-,-,-,31,-,51,55,-,62,68
201702월,502.4,201302월,"3,274",,201608월,267.26,,202009월,726.69,,201906월,-,-,-,-,-,-,31,31,50,51,52,60,61
201703월,528.2,201303월,"3,274",,201609월,267.2,,202010월,709.59,,201907월,-,-,-,-,-,-,30,32,48,49,50,57,56
201704월,545.6,201304월,"3,288",,201610월,267.37,,202011월,815.75,,201908월,-,-,-,-,-,-,35,37,51,53,57,59,62
201705월,581,201305월,"3,281",,201611월,265.82,,202012월,925.97,,201909월,-,-,-,-,-,-,37,37,52,54,57,59,60
201706월,597.3,201306월,"3,264",,201612월,272.38,,202101월,958.92,,201910월,-,-,-,-,-,-,37,38,52,53,55,56,55
201707월,605.7,201307월,"3,297",,201701월,282.09,,202102월,965.03,,201911월,-,-,-,-,-,-,37,35,50,50,52,52,49
201708월,595.9,201308월,"3,311",,201702월,283,,202103월,973.1,,201912월,-,-,-,-,-,-,37,36,49,48,47,49,48
201709월,613,201309월,"3,369",,201703월,293.86,,202104월,984.81,,202001월,-,-,-,-,-,-,40,35,49,46,46,48,48
201710월,650.9,201310월,"3,432",,201704월,302.33,,202105월,987.75,,202002월,-,-,-,-,-,-,44,40,49,51,53,52,52
201711월,634.4,201311월,"3,450",,201705월,321.42,,202106월,"1,013.67",,202003월,-,-,-,-,-,-,58,76,83,85,89,82,83
201712월,634.7,201312월,"3,465",,201706월,330.96,,202107월,976.26,,202004월,-,-,-,-,-,-,68,79,84,85,86,86,83
201801월,657.7,201401월,"3,484",,201707월,334.07,,202108월,968.39,,202005월,-,-,-,-,-,-,67,79,83,85,86,82,83
201802월,621.1,201402월,"3,518",,201708월,327.76,,202109월,922.65,,202006월,-,-,-,-,-,-,57,70,74,76,76,75,75
201803월,625.2,201403월,"3,543",,201709월,339.69,,202110월,889.57,,202007월,-,-,-,-,-,-,48,62,64,67,68,71,72
201804월,643.8,201404월,"3,559",,201710월,360.02,,202111월,862.72,,202008월,-,-,-,-,-,-,40,50,54,56,56,67,67
